Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST<br>Intensity:E<sub>L</sub> (K):E<sub>U</sub> (K):Linelist
t-HCOOH:Formic Acid:::0.00035:3.0E-7:3(3,0)-3(3,1):-15.05800::35.09214:35.09216:CDMS
O2v=0:Molecular oxygen:0.00050:1.0E-7:::N=3,J=3:-17.85120::26.38299:26.38301:JPL
O2v=0:Molecular oxygen:0.00100:1.0E-7:::N=1,J=1:-16.81010::5.69911:5.69915:JPL
O2v=0:Molecular oxygen:0.00127:1.0E-7:::N=3,J=2:-16.32200::23.38416:23.38422:JPL
O2v=0:Molecular oxygen:0.00194:1.0E-7:::N=1,J=2:-15.55960::2.99883:2.99892:JPL
O2v=0:Molecular oxygen:0.00198:1.0E-7:::N=3,J=4:-15.37490::23.57797:23.57806:JPL
t-HCOOH:Formic Acid:::0.00246:1.0E-7:4(3,1)-4(3,2):-13.48710::39.40902:39.40914:CDMS
13C-atom:Atomic Carbon:::0.00420:2.5E-6:3P1-3P1,F=3/2-1/2:-15.36630::23.61983:23.62004:CDMS
HCCCHO:2-Propynal:0.00631:0:::3(2,1)-3(2,2):0.00000::14.84378:14.84408:SLAIM
t-HCOOH:Formic Acid:::0.00985:1.0E-7:5(3,2)-5(3,3):-12.38040::44.80613:44.80661:CDMS
HCCCHO:2-Propynal:0.01893:0:0.01891:2.0E-5:4(2,2)-4(2,3):0.00000::16.63504:16.63595:SLAIM
t-HCOOH:Formic Acid:::0.03038:2.0E-7:2(2,0)-2(2,1):-11.35560::15.95710:15.95855:CDMS
HCCCHO:2-Propynal:0.04416:0:::5(2,3)-5(2,4):0.00000::18.87233:18.87445:SLAIM
H&alpha;:Hydrogen Recombination Line:0.05214:0:::H(501)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05216:0:::He(501)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05216:0:::C(501)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05245:0:::H(500)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05247:0:::He(500)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05248:0:::C(500)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05277:0:::H(499)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05279:0:::He(499)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05279:0:::C(499)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05309:0:::H(498)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05311:0:::He(498)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05311:0:::C(498)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05341:0:::H(497)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05343:0:::He(497)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05343:0:::C(497)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05373:0:::H(496)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05375:0:::He(496)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05376:0:::C(496)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05405:0:::H(495)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05408:0:::He(495)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05408:0:::C(495)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05438:0:::H(494)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05441:0:::He(494)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05441:0:::C(494)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05472:0:::H(493)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05474:0:::He(493)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05474:0:::C(493)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05505:0:::H(492)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05507:0:::He(492)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05508:0:::C(492)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05539:0:::H(491)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05541:0:::He(491)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05541:0:::C(491)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05573:0:::H(490)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05575:0:::He(490)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05575:0:::C(490)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05607:0:::H(489)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05609:0:::He(489)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05609:0:::C(489)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05641:0:::H(488)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05644:0:::He(488)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05644:0:::C(488)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05676:0:::H(487)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05678:0:::He(487)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05679:0:::C(487)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05711:0:::H(486)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05713:0:::He(486)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05714:0:::C(486)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05747:0:::H(485)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05749:0:::He(485)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05749:0:::C(485)&alpha;:0.00000::0.00000:0.00000:Recomb
H&alpha;:Hydrogen Recombination Line:0.05782:0:::H(484)&alpha;:0.00000::0.00000:0.00000:Recomb
He&alpha;:Helium Recombination Line:0.05785:0:::He(484)&alpha;:0.00000::0.00000:0.00000:Recomb
C&alpha;:Carbon Recombination Line:0.05785:0:::C(484)&alpha;:0.00000::0.00000:0.00000:Recomb
